Course code,Weighted Mean,Keywords
HS30203,120.88888888888889,Business
MA29202,120.88888888888889,"Tech, Core, Mathematics"
CS31702,120.71333333333337,Core
AE20202,120.22222222222224,"Core, Tech"
AG29202,119.33333333333334,Environment
CS30002,119.28777777777778,Core
HS20204,119.11111111111111,Core
AG20202,118.44444444444446,"Tech, Core, Environment"
HS21204,118.44444444444446,Business
CH21207,118.44111111111113,Core
HS30207,117.55555555555556,Mathematics
CH21205,116.99777777777776,Core
CS39001,116.23333333333336,"Tech, Core"
HS60261,116.2222222222222,
EC39001,115.65777777777778,Tech
MI60047,115.55555555555556,
EM21203,115.33333333333331,Business
EE39009,115.03333333333332,"Tech, Core"
HS21206,114.44444444444444,Business
CS31006,114.25,"Tech, Core, Software"
CS41001,114.2,Core
CE31004,113.6211111111111,Core
CS39003,113.11555555555556,"Tech, Software"
MT21204,113.11111111111111,Core
GG59009,112.8888888888889,"Environment, Core"
HS31201,112.44444444444444,Business
ME40601,111.85888888888888,Core
IM57003,111.11111111111111,Core
EC39005,111.05037037037036,"Tech, Core"
EE31009,110.93703703703704,"Tech, Core"
MA30008,110.88888888888889,Core
GG50009,110.66666666666666,"Core, Environment"
EC60504,110.66666666666666,
EM29201,110.22222222222224,"ML, Software"
CH21201,109.11666666666667,Core
CH39022,108.80555555555556,Core
CE29204,108.64555555555556,"Tech, Core"
CE29202,108.31222222222225,"Tech, Core"
CH49015,108.08,Core
MA58007,108.0,"Tech, Software, Core."
CS47007,107.81111111111112,Core
GG29202,107.55555555555556,Core
CE39006,106.97888888888887,Core
MA40002,106.88888888888889,Core
MA40004,105.68777777777775,"Core, Software, Mathematics"
AI42001,105.60755555555556,ML
AG31201,105.55555555555556,"Tech, Core"
NA39201,105.33333333333331,Core
MA57011,105.33333333333331,Core
CS60003,104.88888888888889,
EC69502,104.88888888888889,
NA20202,104.66666666666669,"Tech, Core"
AE21202,104.0,Core
EC69504,103.55555555555556,
MA41011,103.29333333333334,"Core, Software"
CE21204,103.20111111111112,Core
NA29204,103.11111111111111,Core
ME61011,102.9388888888889,
NA20204,102.8888888888889,Core
CE21201,102.8874074074074,Core
EM21205,102.66666666666669,Business
AI60006,102.44444444444444,
EE40013,102.43333333333332,Core
ME47603,102.08555555555556,Core
CS59001,101.55555555555554,Core
BT39201,100.66666666666666,Core
CH30016,100.50777777777778,"Tech, Core"
ME47602,100.22222222222224,Core
CE39203,100.08,Core
CH49019,99.69777777777776,"Tech, Core"
EC31005,99.56888888888888,Core
CS57003,99.33333333333334,Core
NA30201,99.33333333333334,Core
EE31002,99.15333333333334,Core
HS57003,98.88888888888889,Core
NA29202,98.88888888888889,Core
HS48001,98.22222222222224,Core
NA49005,97.71777777777775,"Core, Environment"
CE32201,97.2922222222222,Core
EE48001,97.1911111111111,Core
EX59005,96.88888888888889,Core
HS59001,96.66666666666666,Mathematics
CS31007,96.31481481481482,Core
AI61002,95.79305555555555,
ME60004,95.33333333333331,
BT29204,95.11111111111111,Core
MA20106,94.94666666666669,Core
CS31003,94.83555555555556,"Core, Software"
EP60003,94.77629629629628,
MI40004,94.44444444444444,Environment
ME60235,94.22222222222224,
GG29204,94.0,Core
GG20202,93.55555555555556,Core
CE21202,93.29222222222222,Core
AI60002,93.20555555555558,
MA41103,92.8888888888889,"Tech, Core, Software, Mathematics"
CS58003,92.8888888888889,Tech
MA39014,92.56666666666666,"Core, Mathematics, Optimization."
HS30033,92.0,Mathematics
ME60352,91.11111111111111,
CE30201,90.75666666666666,"Core, Civil Engineering"
CE30205,90.63555555555556,"Core, Environment"
EE39002,90.6211111111111,"Tech, Core"
BT29202,89.77777777777777,"Core, Environment"
MA21201,89.1588888888889,Mathematics
EC60502,89.11111111111111,
PH49016,89.05222222222221,Core
CS31005,88.98148148148148,"Core, Mathematics, Optimization"
PH49019,88.97222222222221,Core
GG20211,88.88888888888889,Core
AR29202,88.88888888888889,Core
AR28202,88.66666666666667,Environment
MI60226,88.44444444444446,
CH39023,88.26296296296296,Core
CE31001,87.93851851851853,Core
MA20101,87.77666666666667,Core
EE39006,87.3837037037037,"Core, Tech"
AR32201,87.1111111111111,Core
